name,url,birthplace,
Bill Guerin',http://sportsforecaster.com/nhl/player/214,USA,
Bill Sweatt',http://sportsforecaster.com/nhl/player/6225,USA,
Bill Thomas',http://sportsforecaster.com/nhl/player/5047,USA,
Billy Sauer',http://sportsforecaster.com/nhl/player/5885,USA,
Billy Thompson',http://sportsforecaster.com/nhl/player/2548,CAN,
Blaine Byron',http://sportsforecaster.com/nhl/player/10123,CAN,
Blair Betts',http://sportsforecaster.com/nhl/player/1614,CAN,
Blair Jones',http://sportsforecaster.com/nhl/player/5240,CAN,
Blair Riley',http://sportsforecaster.com/nhl/player/8680,CAN,
Blake Geoffrion',http://sportsforecaster.com/nhl/player/5698,USA,
Blake Kessel',http://sportsforecaster.com/nhl/player/6242,USA,
Blake Parlett',http://sportsforecaster.com/nhl/player/8837,CAN,
Blake Pietila',http://sportsforecaster.com/nhl/player/9154,USA,
Blake Siebenaler',http://sportsforecaster.com/nhl/player/10671,USA,
Blake Speers',http://sportsforecaster.com/nhl/player/9933,CAN,
Bob Boughner',http://sportsforecaster.com/nhl/player/1421,CAN,
Bobby Allen',http://sportsforecaster.com/nhl/player/1018,USA,
Bobby Bolt',http://sportsforecaster.com/nhl/player/5141,CAN,
Bobby Butler',http://sportsforecaster.com/nhl/player/7009,USA,
Bobby Farnham',http://sportsforecaster.com/nhl/player/8884,USA,
Bobby Goepfert',http://sportsforecaster.com/nhl/player/0,USA,
Bobby Holik',http://sportsforecaster.com/nhl/player/215,CZE,
Bobby Hughes',http://sportsforecaster.com/nhl/player/5738,CAN,
Bobby Sanguinetti',http://sportsforecaster.com/nhl/player/5020,USA,
Bokondji Imama',http://sportsforecaster.com/nhl/player/10535,CAN,
Boris Mironov',http://sportsforecaster.com/nhl/player/1366,RUS,
Boris Valabik',http://sportsforecaster.com/nhl/player/4343,SVK,
Borna Rendulic',http://sportsforecaster.com/nhl/player/9913,CRO,
Boyd Devereaux',http://sportsforecaster.com/nhl/player/1725,CAN,
